x,Vh,B
-8,10.9,0.3350
-7,13.7,0.4210
-6,16.2,0.4978
-5,18.6,0.5716
-4,21,0.6453
-3,22.5,0.6914
-2,23.3,0.7160
-1,23.6,0.7252
0,23.7,0.7283
1,23.6,0.7252
2,23.1,0.7099
3,21.9,0.6730
4,20.2,0.6207
5,17.8,0.5470
6,15,0.4609
7,12.2,0.3749
8,10,0.3073
