x,Vh,B
-8,8.5,0.2612
-7,10.5,0.3227
-6,12.5,0.3841
-5,14.3,0.4394
-4,15.4,0.4732
-3,15.6,0.4794
-2,14.8,0.4548
-1,13.1,0.4026
0,11.2,0.3442
1,9.1,0.2796
2,7.3,0.2243
3,5.8,0.1782
4,4.5,0.1383
5,3.5,0.1076
6,2.8,0.0860
7,2.2,0.0676
8,1.7,0.0522
